Sample,18S,Nosema,Transect.ID,Individual.ID,Year,Site,Visit,Site_Visit,Lat,Long,Date_Collected,Type,Family,Genus,Species,Code,Sex,Date_ID,ID_Initials,Dissection_Date,Dissect_Intials,Notes
3287,1,1,K16B1N,K16B1N-38,2016,K,1,K1,41.95222,-83.92257,8/21/2016,Bee,Apidae,Bombus,impatiens,BOIM,Female,11/18/2016,MZ,6/22/2017,MZ,
3285,1,1,K16B1N,K16B1N-36,2016,K,1,K1,41.95222,-83.92257,8/21/2016,Bee,Apidae,Bombus,impatiens,BOIM,Female,11/18/2016,MZ,7/6/2017,MZ,
3327,1,1,K16D1N,K16D1N-78,2016,K,1,K1,41.95222,-83.92257,8/21/2016,Bee,Apidae,Bombus,impatiens,BOIM,Female,11/22/2016,MZ,7/31/2017,MZ,
3268,1,0,K16A1N,K16A1N-19,2016,K,1,K1,41.95222,-83.92257,8/21/2016,Bee,Apidae,Bombus,impatiens,BOIM,Female,11/18/2016,MZ,7/31/2017,MZ,
4393,1,0,K16D2N,K16D2N-93,2016,K,2,K2,41.95222,-83.92257,8/28/2016,Bee,Apidae,Apis,mellifera,APME,Female,11/7/2016,MF,5/15/2017,MZ,
4321,1,0,K16B2N,K16B2N-21,2016,K,2,K2,41.95222,-83.92257,8/28/2016,Bee,Apidae,Apis,mellifera,APME,Female,11/11/2016,MF,6/19/2017,MZ,
4431,1,1,K16D2N,K16D2N-131,2016,K,2,K2,41.95222,-83.92257,8/28/2016,Bee,Apidae,Apis,mellifera,APME,Female,10/28/2016,MF,6/19/2017,MZ,
4320,1,1,K16B2N,K16B2N-20,2016,K,2,K2,41.95222,-83.92257,8/28/2016,Bee,Apidae,Apis,mellifera,APME,Female,11/11/2016,MF,6/27/2017,MZ,
4322,1,1,K16B2N,K16B2N-22,2016,K,2,K2,41.95222,-83.92257,8/28/2016,Bee,Apidae,Apis,mellifera,APME,Female,11/11/2016,MF,7/17/2017,MZ,
4338,1,1,K16B2N,K16B2N-38,2016,K,2,K2,41.95222,-83.92257,8/28/2016,Bee,Apidae,Bombus,impatiens,BOIM,Female,11/11/2016,MF,5/18/2017,MZ,
4351,1,1,K16C2N,K16C2N-51,2016,K,2,K2,41.95222,-83.92257,8/28/2016,Bee,Apidae,Bombus,impatiens,BOIM,Female,11/4/2016,MF,5/15/2017,MZ,
4350,1,0,K16C2N,K16C2N-50,2016,K,2,K2,41.95222,-83.92257,8/28/2016,Bee,Apidae,Bombus,impatiens,BOIM,Female,11/4/2016,MF,6/19/2017,MZ,mite on hind leg
4353,1,1,K16C2N,K16C2N-53,2016,K,2,K2,41.95222,-83.92257,8/28/2016,Bee,Apidae,Bombus,impatiens,BOIM,Female,11/4/2016,MF,6/27/2017,MZ,
4335,1,0,K16B2N,K16B2N-35,2016,K,2,K2,41.95222,-83.92257,8/28/2016,Bee,Apidae,Bombus,impatiens,BOIM,Female,11/11/2016,MF,8/3/2017,MZ,
4319,1,0,K16A2N,K16A2N-19,2016,K,2,K2,41.95222,-83.92257,8/28/2016,Bee,Apidae,Bombus,impatiens,BOIM,Female,11/11/2016,MF,7/31/2017,MZ,
